msr_id,msr_section,msr_table,msr_name,msr_data_url,msr_population_or_survey,msr_survey size,msr_min_geo_resolution,src_org,src_name,src_url,src_year_first_published,src_year_last_published,src_discontinuity,src_pub_frequency,src_pub_lag_months,src_data_provider,src_statistic_class,src_methodology_url,src_quality_url,msr_strength
11,Requests for support,T11,"Number of requests for support received from new clients aged 65 and over, by what happened next, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
12,Requests for support,T12,"Number of requests for support received from new clients per 100,000 adults, by age band, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
13,Requests for support,T13,"Number of requests for support received from new clients per client, by age band, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
14,Overall Gross Current Expenditure,T14,"Gross Current Expenditure, by care type, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
15,Overall Gross Current Expenditure,T15,"Gross Current Expenditure, by care type, year on year comparison, 2017-18 and 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
16,Overall Gross Current Expenditure,T16,"Gross Current Expenditure per 100,000 adults, year on year comparison, 2017-18 to 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
17,Overall Gross Current Expenditure,T17,"Gross Current Expenditure on long and short term care, by care type and age band, year on year comparison, 2017-18 and 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
18,Overall Gross Current Expenditure,T18,"Gross Current Expenditure on long and short term care combined, by age band and primary support reason, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
19,Overall Gross Current Expenditure,T19,"Gross Current Expenditure on long and short term care for clients aged 18 to 64, by care type and primary support reason, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
20,Overall Gross Current Expenditure,T20,"Gross Current Expenditure on long and short term care for clients aged 65 and over, by care type and primary support reason, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
21,Short term care to maximise independence (ST-Max),T21,"Number of completed episodes of ST-Max for new clients, by what happened next and age band, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,Region,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.75
22,Short term care to maximise independence (ST-Max),T22,"Number of completed episodes of ST-Max for new clients, by what happened next, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
23,Short term care to maximise independence (ST-Max),T23,"Number of completed episodes of ST-Max for new clients, by primary support reason, age band and what happened next, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,England,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.67
24,Short term care to maximise independence (ST-Max),T24,"Number of completed episodes of ST-Max for new clients per 100,000 adults, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
25,Short term care to maximise independence (ST-Max),T25,"Number of completed episodes of ST-Max for existing clients aged 18 to 64, by primary support reason, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
26,Short term care to maximise independence (ST-Max),T26,"Number of completed episodes of ST-Max for existing clients aged 65 and over, by primary support reason, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
27,Short term care to maximise independence (ST-Max),T27,"Number of completed episodes of ST-Max for existing clients, by what happened next and age band, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,Region,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.75
28,Short term care to maximise independence (ST-Max),T28,"Number of completed episodes of ST-Max per client, by age band, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
29,Gross Current Expenditure on short term care,T29,"Gross Current Expenditure on short term care, by purpose, age band and primary support reason, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,England,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.67
30,Gross Current Expenditure on short term care,T30,"Gross Current Expenditure on short term care for clients aged 18 to 64, by purpose and primary support reason, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
31,Gross Current Expenditure on short term care,T31,"Gross Current Expenditure on short term care for clients aged 65 and over, by purpose and primary support reason, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
32,Gross Current Expenditure on short term care,T32,"Gross Current Expenditure on short term care to maximise independence per 100,000 adults, year on year comparison, 2017-18 and 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
33,Long term care,T33,"Number of clients accessing long term support during the year, at the end of the year (31 March) and for more than 12 months at the end of the year (31 March), by age band, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
34,Long term care,T34,"Number of clients accessing long term support during the year, by age band and support setting, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
35,Long term care,T35,"Number of clients accessing long term support during the year, by primary support reason, age band and support setting, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,England,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.67
36,Long term care,T36,"Number of clients accessing long term support during the year per 100,000 adults, by age band, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
37,Long term care,T37,"Number of clients accessing long term support at the end of the year, by age band and primary support reason, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
38,Long term care,T38,"Number of clients accessing long term support at the end of the year, by age band and support setting, 2018-19",https://files.digital.nhs.uk/C4/9FBB8A/ASCFR%20and%20SALT%20Reference%20Tables%202018-19.xlsx,Population,N/A,LA,NHS Digital,Adult Social Care Activity and Finance Report,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19,2016,2019,None,Annual,7,LA,National (ASC-FR) + Official (SALT),https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement,https://digital.nhs.uk/data-and-information/publications/statistical/adult-social-care-activity-and-finance-report/2018-19/data-quality-statement#accuracy-and-reliability,0.82
